,field_name,form_name,field_type,field_label,parent,branching_logic
1597,lesion_arms_type_oth,daily,freetext,Specify other type of arms / hands lesions,lesion,[lesion_arms_type(88)]='1'
1598,lesion_arms_num,daily,freetext,Number of arms / hands lesions,lesion,[lesion_arms]='1'
1599,lesion_legs,daily,binary,Are there any lesions on the legs and/or feet?,lesion,[lesion_skinles]='1'
1600,lesion_legs_type,daily,checkbox,Type of legs / feet lesions,lesion,[lesion_legs]='1'
1601,lesion_legs_type___Vesicle,daily,binary,Vesicle,lesion_legs_type,[lesion_legs]='1'
1602,lesion_legs_type___Pustule,daily,binary,Pustule,lesion_legs_type,[lesion_legs]='1'
1603,lesion_legs_type___Ulcerated lesions,daily,binary,Ulcerated lesions,lesion_legs_type,[lesion_legs]='1'
1604,lesion_legs_type___Necrotising lesions,daily,binary,Necrotising lesions,lesion_legs_type,[lesion_legs]='1'
1605,lesion_legs_type___Fungating lesions,daily,binary,Fungating lesions,lesion_legs_type,[lesion_legs]='1'
1606,lesion_legs_type___Haemorrhagic lesions,daily,binary,Haemorrhagic lesions,lesion_legs_type,[lesion_legs]='1'
1607,lesion_legs_type___Other,daily,binary,Other,lesion_legs_type,[lesion_legs]='1'
1608,lesion_legs_type_oth,daily,freetext,Specify other type of legs / feet lesions,lesion,[lesion_legs_type(88)]='1'
1609,lesion_legs_num,daily,freetext,Number of legs / feet lesions,lesion,[lesion_legs]='1'
1610,lesion_palm,daily,binary,Are there any lesions on the palms?,lesion,[lesion_skinles]='1'
1611,lesion_palm_type,daily,checkbox,Type of palm lesions,lesion,[lesion_palm]='1'
1612,lesion_palm_type___Vesicle,daily,binary,Vesicle,lesion_palm_type,[lesion_palm]='1'
1613,lesion_palm_type___Pustule,daily,binary,Pustule,lesion_palm_type,[lesion_palm]='1'
1614,lesion_palm_type___Ulcerated lesions,daily,binary,Ulcerated lesions,lesion_palm_type,[lesion_palm]='1'
1615,lesion_palm_type___Necrotising lesions,daily,binary,Necrotising lesions,lesion_palm_type,[lesion_palm]='1'
1616,lesion_palm_type___Fungating lesions,daily,binary,Fungating lesions,lesion_palm_type,[lesion_palm]='1'
1617,lesion_palm_type___Haemorrhagic lesions,daily,binary,Haemorrhagic lesions,lesion_palm_type,[lesion_palm]='1'
1618,lesion_palm_type___Other,daily,binary,Other,lesion_palm_type,[lesion_palm]='1'
1619,lesion_palm_type_oth,daily,freetext,If other: Specify other type of palm lesions,lesion,[lesion_palm_type(88)]='1'
